ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Windows\system32\SgrmBroker.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,1,C:\Windows\system32\sc.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,2,C:\Windows\SysWOW64\sc.exe,15-09-18 7:29,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,3,C:\Windows\SysWOW64\net1.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,4,C:\Windows\SysWOW64\net.exe,15-09-18 7:29,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,5,C:\Windows\vmtoolsIO.exe,15-11-22 21:19,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,6,C:\Windows\System32\conhost.exe,15-09-18 7:28,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,7,C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\Application,19-03-19 20:55,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,8,C:\Users\Public\Downloads\SysInternals.exe,15-11-22 21:18,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,9,C:\Windows\System32\PickerHost.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,10,C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\Application,19-03-19 13:19,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,11,C:\Windows\system32\vm3dservice.exe,31-08-21 11:04,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,12,C:\Windows\system32\consent.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,13,C:\Program Files\VMware\VMware Tools\TPAutoConnect.exe,22-03-18 9:04,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,14,C:\Windows\Temp\{EDDFDBE8-940C-46FF-99AE-D64A11EEB770}\.be\VC_redist.x64.exe,15-11-22 20:14,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,15,C:\Windows\Temp\{265B3E7C-AA04-4CC3-99BC-48E2A9221AEE}\.cr\vcredist_x64.exe,15-11-22 20:14,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,16,C:\Windows\Temp\{1FF5D624-5515-4343-837A-E54C101573E6}~setup\vcredist_x64.exe,15-11-22 20:14,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,17,C:\Windows\Temp\{D402560A-0EED-4396-92A0-01F1FDD8B129}\.be\VC_redist.x86.exe,15-11-22 20:14,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,18,C:\Windows\Temp\{FC0BC965-B092-42AE-A530-986B05D463F7}\.cr\vcredist_x86.exe,15-11-22 20:14,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,19,C:\Windows\Temp\{1FF5D624-5515-4343-837A-E54C101573E6}~setup\vcredist_x86.exe,15-11-22 20:14,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,20,C:\Windows\TEMP\0297083B-7C4B-42C0-AC47-D97153C55577\dismhost.exe,15-09-18 6:09,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,21,C:\Windows\TEMP\vmware-SYSTEM\00007bab\setup64.exe,15-11-22 20:14,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,22,C:\Windows\TEMP\vmware-SYSTEM\00007bab\setup.exe,15-11-22 20:14,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,23,C:\Windows\system32\Sysprep\sysprep.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,24,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1902.2-0\MpCmdRun.exe,19-03-19 13:08,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,25,C:\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe,31-08-21 11:00,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,26,C:\Windows\TEMP\vmware-SYSTEM\VMwareToolsUpgrader.exe,31-08-21 7:14,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,27,C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,28,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,29,C:\Windows\system32\sppsvc.exe,19-03-19 13:15,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,30,C:\Windows\system32\wlrmdr.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,31,C:\Windows\Temp\sdelete.exe,15-11-18 15:33,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,32,C:\Windows\Temp\ultradefrag-portable-6.1.0.i386\udefrag.exe,19-04-15 12:57,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,33,C:\Windows\System32\msdtc.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,34,C:\Program Files\Common Files\VMware\Drivers\vss\comreg.exe,31-08-21 11:04,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,35,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,31-08-21 11:00,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,36,C:\Program Files\VMware\VMware Tools\guestproxycerttool.exe,22-03-18 10:00,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,37,C:\Windows\syswow64\WOWReg32.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,38,C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe,31-08-21 10:43,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,39,C:\Program Files\VMware\VMware Tools\vmacthlp.exe,22-03-18 9:56,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,40,C:\Program Files\VMware\VMware Tools\TPVCGateway.exe,22-03-18 9:04,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,41,C:\Program Files\VMware\VMware Tools\TPAutoConnSvc.exe,22-03-18 9:04,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,42,C:\Windows\System32\printui.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,43,c:\0d44ffe1b31dc1b68652a027f5c7\install.exe,19-04-11 11:09,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,44,C:\Users\IEUser\AppData\Local\Temp\{43D9111A-EA02-4682-BF3C-EFDCB62A89B0}~setup\vcredist_x64.exe,19-03-19 13:24,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,45,c:\b1b4a6487d9ed7b94c6e\install.exe,19-04-11 7:30,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,46,C:\Program Files (x86)\7-Zip\7zFM.exe,19-11-10 4:09,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,47,C:\Users\IEUser\AppData\Local\Temp\{43D9111A-EA02-4682-BF3C-EFDCB62A89B0}~setup\vcredist_x86.exe,19-03-19 13:24,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,48,C:\Windows\Temp\VMWare\setup64.exe,22-03-18 10:11,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,49,C:\Windows\Temp\VMWare\setup.exe,22-03-18 10:11,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,50,C:\Program Files (x86)\7-Zip\7z.exe,19-11-10 4:08,Yes,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,51,C:\Windows\System32\OpenSSH\scp.exe,15-09-18 9:08,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,52,C:\Windows\System32\OpenSSH\ssh-keygen.exe,15-09-18 9:08,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,53,C:\Windows\System32\OpenSSH\sshd.exe,19-03-19 13:23,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,54,C:\Windows\system32\hostname.EXE,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,55,C:\Users\IEUser\AppData\Local\Temp\852DE2B4-535E-4A18-A709-0EEB2A6FE810\dismhost.exe,15-09-18 6:09,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,56,C:\Windows\System32\shutdown.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,57,C:\Program Files\Puppet Labs\Puppet\bin\run_puppet_interactive.bat,25-04-16 20:19,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,58,C:\Program Files\Puppet Labs\Puppet\bin\run_facter_interactive.bat,25-04-16 20:19,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,59,C:\Program Files\Puppet Labs\Puppet\sys\ruby\bin\ruby.exe,25-04-16 20:43,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,60,C:\ProgramData\chocolatey\bin\choco.exe,15-03-19 19:57,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,61,C:\ProgramData\chocolatey\choco.exe,15-03-19 19:57,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,62,C:\Windows\System32\setx.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,63,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,64,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,65,C:\Users\IEUser\AppData\Local\Temp\chocolatey\chocInstall\7za.exe,19-03-19 13:21,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,66,C:\Windows\system32\dashost.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,67,"0000000b	03e84563015c0000	000c000000000000	8664	Microsoft.MicrosoftEdgeDevToolsClient	8wekyb3d8bbwe	neutral",,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,68,C:\Windows\system32\MusNotificationUx.exe,19-03-19 13:15,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,69,C:\Windows\system32\MusNotification.exe,19-03-19 13:15,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,70,C:\Windows\system32\MusNotifyIcon.exe,19-03-19 13:15,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,71,C:\Windows\system32\usoclient.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,72,C:\Windows\System32\FodHelper.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,73,C:\Windows\System32\Speech_OneCore\Common\SpeechRuntime.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,74,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,75,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1902.2-0\NisSrv.exe,19-03-19 13:08,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,76,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1902.2-0\MsMpEng.exe,19-03-19 13:08,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,77,C:\Users\IEUser\AppData\Local\Temp\6792C904-1DF6-4AA9-AE27-AA4769FC0F51\MpSigStub.exe,19-03-19 13:08,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,78,C:\Windows\SoftwareDistribution\Download\Install\UpdatePlatform.exe,19-03-19 13:07,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,79,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.17763.164_none_7e114a3d4d0589d4\TiWorker.exe,15-09-18 6:09,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,80,C:\Users\IEUser\AppData\Local\Microsoft\OneDrive\18.143.0717.0002\FileCoAuth.exe,19-03-19 13:01,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,81,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,82,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,83,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Ngen.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,84,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Ngen.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,85,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta.exe,19-03-19 13:02,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,86,C:\Windows\SoftwareDistribution\Download\Install\AM_Base.exe,19-03-19 13:02,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,87,C:\Windows\system32\MpSigStub.exe,19-03-19 13:02,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,88,C:\Windows\SoftwareDistribution\Download\Install\AM_Engine.exe,19-03-19 13:02,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,89,C:\Windows\SoftwareDistribution\Download\Install\MpSigStub.exe,19-03-19 13:02,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,90,C:\Windows\system32\AppHostRegistrationVerifier.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,91,C:\Windows\system32\wbem\WmiApSrv.exe,15-09-18 7:28,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
1,92,C:\Windows\System32\LocationNotificationWindows.exe,15-09-18 7:29,No,FALSE,C:\Users\Fatima\Downloads\100-SysInternals\config\SYSTEM
