ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description,OriginalFileName
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:06:33,cb91407f81d32e05d97ab017789406d0d14b7c13,True,c:\windows\system32\applicationframehost.exe,ApplicationFrameHost.exe,.exe,2012-02-04 15:07:10,microsoft® windows® operating system,72776,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,applicationframe|7c5c9be1b612bbd,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,000672313b14acf611791e61aaa2d3db15f400000904,2019-03-19 13:00:45,1cee3fa8419bdf4cbc266461277e3fdd9b93de25,False,c:\bginfo\bginfo.exe,BGINFO.EXE,.exe,2013-07-30 03:02:23,bginfo,847040,4.20,4.20,bginfo.exe|694fff88532e913f,pe32_i386,True,4.20.0.0,4.20.0.0,5587624,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 12:59:43,f81d1c1018b292762b8a536d6b4289fd593e30b3,True,c:\windows\system32\compattelrunner.exe,CompatTelRunner.exe,.exe,1995-05-24 11:07:09,microsoft® windows® operating system,156200,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,compattelrunner.|732ad1627e12cb48,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:00:16,a32a03532a2ac2ca9c9f67ff4e7fb45680985df9,True,c:\windows\system32\conhost.exe,conhost.exe,.exe,2030-01-20 03:16:28,microsoft® windows® operating system,822784,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,conhost.exe|a73bcd1ef9353f3e,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2022-11-15 20:15:04,e6314bc8ab096923cb69a1359c84db47434bf4e1,True,c:\windows\system32\consent.exe,consent.exe,.exe,2044-07-15 06:54:09,microsoft® windows® operating system,159240,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,consent.exe|808393f799959da6,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:01:19,779b8afc3fa2528b090f400ef3d592e0e2775955,True,c:\windows\system32\csrss.exe,csrss.exe,.exe,2058-05-27 04:51:31,microsoft® windows® operating system,17792,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,csrss.exe|a9363ee544229f11,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 12:59:43,64cd6dc111ba59b11923e2ec26825c75ee6ab7aa,True,c:\windows\system32\devicecensus.exe,DeviceCensus.exe,.exe,2096-05-22 02:17:09,microsoft® windows® operating system,35640,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,devicecensus.exe|26420fddf94319b3,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:24:56,0ac5ebabb21c3c873b1ca249a7cb6e099e1431ae,True,c:\windows\system32\drvinst.exe,drvinst.exe,.exe,2058-06-08 03:45:59,microsoft® windows® operating system,168448,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,drvinst.exe|aa32db6491e404e1,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:01:22,a2198b6d266720e3139554c2781e0f4586d29f80,True,c:\windows\system32\dwm.exe,dwm.exe,.exe,2091-11-01 18:09:55,microsoft® windows® operating system,50176,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,dwm.exe|f848a80c6540ffad,pe64_amd64,True,10.0.17763.1,10.0.17763.1,2474312,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:01:20,a601f11eb7d1c1580de387c514d4b5fe2f3a78f2,True,c:\windows\explorer.exe,explorer.exe,.exe,2026-01-07 21:17:14,microsoft® windows® operating system,4245280,10.0.17763.107 (winbuild.160101.0800),10.0.17763.107,explorer.exe|68e882542b88f3ee,pe64_amd64,True,10.0.17763.107,10.0.17763.107,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:00:04,e1ab36e5c3c1453c592e2901330eb13c5d29b351,True,c:\windows\system32\logonui.exe,LogonUI.exe,.exe,2018-03-23 00:51:12,microsoft® windows® operating system,13824,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,logonui.exe|abe25f7310ce82cc,pe64_amd64,True,10.0.17763.1,10.0.17763.1,2515112,1033,,
Unassociated,0006ad0c414fc4a84938ddc895c8e29c354700000904,2019-03-19 13:05:54,98e184de908a65514feea84ff71581463e4ce0a0,False,c:\windows\system32\mrt.exe,MRT.exe,.exe,1976-12-06 11:32:38,microsoft windows malicious software removal tool,127411920,5.70.15749.1,5.70.15749.1,mrt.exe|911fb90f04cf69c9,pe64_amd64,True,5.70.15749.1,5.70.15749.1,13384200,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:24:56,5afd3876668617b261e44c6a80e457093e631267,True,c:\windows\system32\msiexec.exe,msiexec.exe,.exe,2075-08-12 21:24:40,windows installer - unicode,93696,5.0.17763.1 (winbuild.160101.0800),5.0.17763.1,msiexec.exe|3560aeebc8ec9db4,pe64_amd64,True,5.0.17763.1,5.0.17763.1,0,1033,,
Unassociated,0006b3eadf6dcf8069baee7c9ea03f9b49a200000904,2022-11-15 20:14:21,56a596db9c8384281302e23f05e3ceb3f670a437,False,c:\programdata\microsoft\windows defender\platform\4.18.1902.2-0\msmpeng.exe,MsMpEng.exe,.exe,2071-05-22 01:07:42,microsoft® windows® operating system,113992,4.18.1902.2 (gitenlistment(winpbld).190204-1454),4.18.1902.2,msmpeng.exe|2c96dd729fafd312,pe64_amd64,True,4.18.1902.2,4.18.1902.2,89343488,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:17:31,1d361c732509e6e5023e8dd57bf02ccb7c99d8fb,True,c:\windows\system32\musnotification.exe,MusNotification.exe,.exe,2059-06-23 08:37:06,microsoft® windows® operating system,528384,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,musnotification.|7ea6ea568df85e1c,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2022-11-15 21:16:46,60733de225b5c4bfc42fb79e5d1a4f6683243e4a,True,c:\windows\system32\notepad.exe,notepad.exe,.exe,1996-11-26 04:52:33,microsoft® windows® operating system,254464,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,notepad.exe|8a29d0c6d8c68f8e,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
Unassociated,0006abc5ac215924769bf3962e0bc5eb23c800000904,2019-03-19 13:06:32,1d103964af1ab922252ce1091e906abdebb024b7,False,c:\users\ieuser\appdata\local\microsoft\onedrive\onedrive.exe,OneDrive.exe,.exe,2018-09-11 21:57:09,microsoft onedrive,1645368,18.143.0717.0002,18.143.0717.0002,onedrive.exe|b415eef7589474aa,pe32_i386,True,18.143.717.2,18.143.717.2,13458952,1033,,
Unassociated,000682fe7d4241b1f201ff556b881d31a60800000904,2019-03-19 13:05:17,04a47953e2a084fbde0102972246c24b289fa05b,False,c:\users\ieuser\appdata\local\microsoft\onedrive\update\onedrivesetup.exe,OneDriveSetup.exe,.exe,2019-03-01 08:39:44,microsoft onedrive,28915808,19.012.0121.0011,19.012.0121.0011,onedrivesetup.ex|32c3d939c682f8e0,pe32_i386,True,19.12.121.11,19.12.121.11,13528256,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-03-19 13:01:43,96152df3b9c594fe0939e478a48fe211f2f1a39b,True,c:\windows\syswow64\onedrivesetup.exe,OneDriveSetup.exe,.exe,2018-09-11 21:57:42,microsoft onedrive,27860280,18.143.0717.0002,18.143.0717.0002,onedrivesetup.ex|d72672c5b63baf6d,pe32_i386,True,18.143.717.2,18.143.717.2,0,1033,,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2022-11-15 21:18:51,5b53cc59857231d2906a37cbf1f97666df32e0b9,True,c:\windows\system32\pickerhost.exe,PickerHost.exe,.exe,2077-01-21 13:25:36,microsoft® windows® operating system,121304,10.0.17763.1 (winbuild.160101.0800),10.0.17763.1,pickerhost.exe|3b85f25a872af81a,pe64_amd64,True,10.0.17763.1,10.0.17763.1,0,1033,,
